set_num,set_name,year,theme_id,num_parts,total_part_count,unique_part_count,minifig_count,spare_part_ratio,h_cat,h_col,n_distinct_colors,n_distinct_categories,prop_technic,prop_printed,prop_transparent,rare_part_ratio,minifig_to_part_ratio,has_minifigs,year_window,window_index
001-1,Gears,1965,756,43,43.0,12.0,0.0,0.0,1.2283589840587235,1.3498122488592856,5.0,5.0,0.27906976744186046,0.0,0.0,0.37209302325581395,0.0,0.0,1955-1966,0
003-1,Master Mechanic Set,1966,756,403,403.0,28.0,0.0,0.0,0.7343772721785704,1.383640961605317,7.0,6.0,0.0,0.0,0.02977667493796526,0.01488833746898263,0.0,0.0,1955-1966,0
004-1,Master Builder Set,1966,756,817,817.0,39.0,0.0,0.0,1.2003545568530765,1.4188749027117815,7.0,8.0,0.014687882496940025,0.0,0.03182374541003672,0.019583843329253364,0.0,0.0,1955-1966,0
005-1,Basic Building Set in Cardboard,1965,365,35,35.0,5.0,0.0,0.0,-0.0,0.8030836701205181,3.0,1.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,1955-1966,0
010-1,Basic Building Set in Cardboard,1965,365,57,57.0,5.0,0.0,0.0,-0.0,1.1958518819655102,7.0,1.0,0.0,0.0,0.07017543859649122,0.0,0.0,0.0,1955-1966,0
010423-1,The Majestic Horse,2023,721,492,492.0,98.0,0.0,0.0,2.371411293390531,1.8310498273881408,16.0,18.0,0.022357723577235773,0.012195121951219513,0.0020325203252032522,0.0,0.0,0.0,2023,40
01-1,Chain Links,1980,453,25,25.0,1.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1980-1981,4
011-1,Basic Building Set,1968,365,145,145.0,13.0,0.0,0.0,0.342829220923835,1.0898146304097516,7.0,5.0,0.0,0.0,0.05517241379310345,0.006896551724137931,0.0,0.0,1967-1973,1
020-1,Basic Building Set in Cardboard,1965,365,94,94.0,11.0,0.0,0.0,0.3095980775227787,1.212085243397626,7.0,3.0,0.0,0.0,0.09574468085106383,0.0,0.0,0.0,1955-1966,0
021-1,Wheel Set,1966,756,183,183.0,30.0,0.0,0.0,1.2509686865024658,1.5233836229539428,8.0,6.0,0.0,0.0,0.11475409836065574,0.00546448087431694,0.0,0.0,1955-1966,0
022-1,Basic Building Set,1968,365,110,110.0,11.0,0.0,0.0,0.21168754464631545,1.1709782113713623,7.0,2.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,1967-1973,1
03093-1,The Race to Build It Board Game,1999,674,99,99.0,56.0,0.0,0.0,2.2854801221741594,2.1427895935755665,11.0,16.0,0.0,0.030303030303030304,0.06060606060606061,0.26262626262626265,0.0,0.0,1999,16
033-1,Farm Animals,1979,632,21,21.0,13.0,0.0,0.0,0.19144408195771734,1.7694884153106905,7.0,2.0,0.0,0.047619047619047616,0.0,0.3333333333333333,0.0,0.0,1977-1979,3
041-1,Pre-School Beginners Set,1964,369,24,24.0,1.0,0.0,0.0,-0.0,0.6931471805599453,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1955-1966,0
044-1,Basic Building Set,1968,365,225,225.0,22.0,0.0,0.0,0.49507761187726973,1.329742714357509,7.0,4.0,0.0,0.0,0.05333333333333334,0.02666666666666667,0.0,0.0,1967-1973,1
045-1,Farm,1979,632,66,66.0,27.0,0.0,0.0,0.26828360146972124,1.9329073589757417,10.0,2.0,0.0,0.12121212121212122,0.0,0.3484848484848485,0.0,0.0,1977-1979,3
049-1,Windows / Doors & Trees / Bushes,1969,756,27,27.0,9.0,0.0,0.0,0.823033813705454,0.6869615765973234,2.0,3.0,0.0,0.0,0.0,0.48148148148148145,0.0,0.0,1967-1973,1
051-1,Assorted Basic Bricks - Red,1966,756,50,50.0,7.0,0.0,0.0,0.167944147734173,-0.0,1.0,2.0,0.0,0.0,0.0,0.02,0.0,0.0,1955-1966,0
052-1,Assorted Basic Bricks - White,1966,756,50,50.0,7.0,0.0,0.0,0.167944147734173,0.098039113279732,2.0,2.0,0.0,0.0,0.0,0.02,0.0,0.0,1955-1966,0
053-1,Assorted Basic Bricks - Blue,1966,756,50,50.0,7.0,0.0,0.0,0.167944147734173,0.098039113279732,2.0,2.0,0.0,0.0,0.0,0.02,0.0,0.0,1955-1966,0
054-1,Assorted Basic Bricks - Yellow,1966,756,50,50.0,7.0,0.0,0.0,0.167944147734173,0.098039113279732,2.0,2.0,0.0,0.0,0.0,0.02,0.0,0.0,1955-1966,0
055-1,Trees & Bushes,1966,756,25,25.0,3.0,0.0,0.0,0.167944147734173,0.167944147734173,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1955-1966,0
058-1,Small Wheels,1966,756,26,26.0,6.0,0.0,0.0,0.7404110412691982,1.0971128947333808,3.0,4.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,1955-1966,0
066-1,Basic Building Set,1968,365,407,407.0,29.0,0.0,0.0,0.9762776154302988,1.372900555674561,8.0,7.0,0.0,0.0,0.04176904176904177,0.02457002457002457,0.0,0.0,1967-1973,1
071-1,Block Box,1979,505,24,24.0,2.0,0.0,0.0,-0.0,1.3862943611198906,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1977-1979,3
074-1,Pre-School Set,1976,505,20,20.0,2.0,0.0,0.0,-0.0,1.0960673284468554,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-1976,2
077-1,Pre-School Set,1975,505,21,21.0,6.0,0.0,0.0,0.19144408195771734,1.2205180120569288,4.0,2.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,1974-1976,2
080-1,Basic Building Set with Train,1967,365,712,712.0,57.0,0.0,0.0,1.8419050559519854,1.7721673803250404,8.0,13.0,0.0,0.007022471910112359,0.007022471910112359,0.03932584269662921,0.0,0.0,1967-1973,1
082-1,Legoville,1976,505,63,63.0,20.0,0.0,0.0,0.34883209584303193,1.2283271571642853,5.0,2.0,0.0,0.1746031746031746,0.0,0.5555555555555556,0.0,0.0,1974-1976,2
088-1,Super Set,1969,465,615,615.0,46.0,0.0,0.0,1.1083674184317542,1.5845132780309812,8.0,12.0,0.0,0.0016260162601626016,0.056910569105691054,0.04552845528455285,0.0,0.0,1967-1973,1
09-1,Trees & Flowers,1981,443,22,22.0,4.0,0.0,0.0,-0.0,1.5941666991180168,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1980-1981,4
10000-1,Guarded Inn,2001,199,256,236.0,64.0,4.0,0.02074688796680498,2.0805890489584646,1.488061663970983,9.0,19.0,0.012711864406779662,0.03389830508474576,0.0,0.029661016949152543,0.01694915254237288,1.0,2001,18
1000-1,Mosaic Set,1985,516,202,202.0,53.0,0.0,0.0,0.22532980874799502,0.22532980874799502,2.0,2.0,0.0,0.8910891089108911,0.0,1.0,0.0,0.0,1985,6
